stu;nb_polys;nb_smu;area;soil;soil90;text1;text2;slope1;slope2;aglim1;aglim2;mat1;mat2;zmin;zmax;use1;use2;dt;td1;td2;roo;il;wr;wm1;wm2;wm3;cfl
"332659;4;1;191.31747;\"Wd\";\"\";2;4;1;0;1;1;\"312\";\"231\";200;300;5;1;1;4;0;1;4;2;2;0;0;\"M\""
"332660;2;1;351.2450368;\"Wd\";\"\";2;4;1;2;1;1;\"300\";\"514\";75;150;5;1;2;4;0;1;4;2;2;0;0;\"M\""
"332661;2;1;100.3557248;\"D\";\"\";2;0;1;2;1;1;\"514\";\"\";75;150;5;1;3;4;0;1;3;2;1;0;0;\"M\""
"332662;2;1;50.1778624;\"Lo\";\"\";2;1;1;2;1;1;\"514\";\"411\";75;150;5;1;5;0;0;1;2;1;2;0;0;\"M\""
"332666;12;1;271.25736015;\"Oe\";\"\";0;0;1;0;1;1;\"910\";\"\";0;30;0;0;0;0;0;1;2;4;2;0;0;\"H\""
"332667;12;1;116.25315435;\"Gh\";\"\";4;5;1;0;1;1;\"113\";\"\";0;30;0;0;5;0;0;1;4;3;2;0;0;\"M\""
"332668;9;1;264.110636063;\"Od\";\"\";0;0;1;0;1;1;\"910\";\"\";0;0;0;0;0;0;0;1;2;4;2;0;0;\"H\""
"332669;11;1;738.673077;\"Oe\";\"\";0;0;1;0;1;1;\"910\";\"\";0;0;0;0;0;0;0;1;2;4;2;0;0;\"H\""
"332670;31;1;207.918157375;\"Od\";\"\";0;0;1;0;1;1;\"910\";\"\";200;700;0;0;0;0;0;1;2;4;2;0;0;\"H\""
"332671;13;1;541.7141005;\"Bk\";\"\";4;0;1;2;1;1;\"217\";\"230\";200;300;3;1;5;0;0;1;3;2;1;0;0;\"H\""
"332672;13;1;325.0284603;\"Bec\";\"\";4;0;1;2;1;1;\"217\";\"230\";200;300;3;1;5;0;0;1;1;1;2;0;0;\"H\""
"332673;13;1;216.6856402;\"Eo\";\"\";2;4;2;3;4;3;\"213\";\"217\";200;300;3;1;5;0;0;3;1;1;2;0;0;\"M\""
"332674;3;1;273.312486;\"Bk\";\"\";4;0;1;2;4;3;\"212\";\"\";300;500;3;1;5;0;0;3;1;1;2;0;0;\"H\""
"332675;3;1;273.312486;\"Bec\";\"\";4;0;1;0;3;1;\"212\";\"\";300;500;3;1;5;0;0;2;1;1;2;0;0;\"H\""
"332676;2;1;94.88842965;\"Po\";\"\";1;0;2;4;3;1;\"450\";\"\";600;1100;5;0;5;0;0;2;1;1;2;0;0;\"H\""
"332677;2;1;13.55548995;\"Pl\";\"\";1;2;2;4;3;1;\"450\";\"\";600;1100;5;0;5;0;0;2;1;1;2;0;0;\"H\""
"332678;2;1;13.55548995;\"Bds\";\"\";2;0;2;0;3;1;\"450\";\"\";600;1100;5;0;5;0;0;2;4;3;2;0;0;\"H\""
"332679;4;1;1244.05170129;\"Id\";\"\";1;2;3;0;3;1;\"700\";\"\";500;500;5;9;5;0;0;4;1;1;2;0;0;\"H\""
"332680;4;1;533.165014837;\"Bd\";\"\";2;0;2;3;2;1;\"700\";\"\";500;500;5;9;5;0;0;3;1;1;2;0;0;\"H\""
"332682;2;1;36.5422414;\"Ql\";\"\";1;0;1;0;3;1;\"422\";\"\";0;0;5;3;5;0;0;1;2;1;1;0;0;\"H\""
"332683;1;1;299.276928;\"Bd\";\"\";2;0;2;0;1;1;\"312\";\"411\";0;0;5;1;3;4;0;1;1;1;2;0;0;\"M\""
"332684;2;1;398.011208;\"Bd\";\"\";2;0;2;3;1;1;\"312\";\"411\";0;0;5;1;3;4;0;1;1;1;2;0;0;\"M\""
"332686;2;1;15.6609606;\"Qc\";\"\";1;0;1;0;3;1;\"422\";\"\";0;0;5;3;5;0;0;1;2;1;2;0;0;\"H\""
"332687;1;1;33.252992;\"Dg\";\"\";2;0;1;0;1;1;\"514\";\"411\";0;0;5;1;3;4;0;1;3;2;2;0;0;\"M\""
"332688;2;1;142.14686;\"Dg\";\"\";2;0;1;0;1;1;\"514\";\"411\";0;0;5;1;3;4;0;1;3;2;1;0;0;\"M\""
"332689;2;1;28.429372;\"I\";\"\";1;0;2;0;3;1;\"454\";\"\";0;0;5;1;5;0;0;4;1;1;2;0;0;\"M\""
"332696;10;1;114.86272955;\"I\";\"\";1;0;3;0;1;1;\"711\";\"740\";0;450;5;1;5;0;0;4;1;1;2;0;0;\"M\""
"332697;10;1;68.91763773;\"Lg\";\"\";2;0;1;0;1;1;\"500\";\"740\";0;450;5;1;5;0;0;1;3;2;2;0;0;\"M\""
"332698;10;1;45.94509182;\"Dg\";\"\";2;0;1;0;1;1;\"500\";\"740\";0;450;5;1;5;0;0;1;3;2;2;0;0;\"M\""
"332699;2;1;6.777744975;\"I\";\"\";1;0;4;0;3;1;\"450\";\"\";600;1100;5;0;5;0;0;4;1;1;2;0;0;\"H\""
"332700;2;1;6.777744975;\"U\";\"\";1;0;3;4;4;3;\"450\";\"\";600;1100;5;0;5;0;0;4;1;1;2;0;0;\"H\""
"332701;16;1;30.068663875;\"I\";\"\";1;0;4;0;3;1;\"450\";\"\";300;450;5;0;5;0;0;4;1;1;2;0;0;\"M\""
"332702;16;1;30.068663875;\"U\";\"\";1;0;3;4;4;3;\"450\";\"\";300;450;5;0;5;0;0;4;1;1;2;0;0;\"M\""
"332703;3;1;42.5678866;\"I\";\"\";1;0;4;0;3;1;\"450\";\"\";400;1100;5;0;5;0;0;4;1;1;2;0;0;\"H\""
"332704;3;1;42.5678866;\"U\";\"\";1;0;3;4;4;3;\"450\";\"\";400;1100;5;0;5;0;0;4;1;1;2;0;0;\"H\""
"332705;7;1;21.1600194;\"Lg\";\"\";2;0;1;0;1;1;\"510\";\"\";300;300;3;1;2;4;0;1;3;2;1;0;0;\"M\""
"332706;94;1;918.007046931;\"Be\";\"\";2;4;2;0;1;1;\"212\";\"\";0;600;3;5;5;0;0;1;1;1;2;0;0;\"M\""
"332708;12;1;37.9523550688;\"Bk\";\"\";4;0;2;3;1;1;\"312\";\"\";0;150;3;1;5;0;0;3;1;1;2;0;0;\"M\""
"332709;55;1;680.715004225;\"Beg\";\"\";3;0;1;0;1;1;\"740\";\"\";0;150;3;1;5;0;0;1;3;2;1;0;0;\"M\""
"332710;49;1;409.19168505;\"U\";\"\";2;0;2;0;1;1;\"740\";\"\";0;450;3;1;5;0;0;3;1;1;2;0;0;\"M\""
"332711;54;1;462.44633925;\"U\";\"\";2;0;2;3;1;1;\"711\";\"\";0;450;5;1;5;0;0;4;1;1;2;0;0;\"M\""
"332713;14;1;103.5667205;\"Be\";\"\";3;4;2;0;1;1;\"741\";\"\";150;300;1;3;5;0;0;2;1;1;2;0;0;\"M\""
"332714;93;1;270.82587918;\"E\";\"\";2;3;3;0;1;1;\"213\";\"\";50;250;3;5;5;0;0;4;1;1;2;0;0;\"H\""
"332715;25;1;314.48516465;\"Je\";\"\";3;2;1;0;1;1;\"110\";\"\";50;150;3;5;5;0;0;1;2;1;2;0;0;\"H\""
"332716;13;1;41.6728041;\"Bec\";\"\";2;4;2;0;1;1;\"312\";\"220\";150;300;5;3;5;0;0;1;1;1;2;0;0;\"L\""
"332719;11;1;89.3955449;\"I\";\"\";3;0;3;4;1;1;\"212\";\"\";300;600;5;1;5;0;0;4;1;1;2;0;0;\"\""
"332720;6;1;806.0297917;\"Lg\";\"\";2;0;1;0;1;1;\"520\";\"\";150;250;3;1;2;4;0;1;3;2;1;0;0;\"M\""
"332721;6;1;345.4413393;\"Bk\";\"\";2;0;2;0;1;1;\"232\";\"\";150;250;3;1;1;4;0;1;1;1;2;0;0;\"M\""
"332722;9;1;1058.1086208;\"Lg\";\"\";2;0;1;0;1;1;\"100\";\"\";-999;-999;3;1;5;0;0;1;3;2;1;0;0;\"L\""
"332723;9;1;264.5271552;\"Bg\";\"\";2;0;2;0;3;1;\"100\";\"\";-999;-999;3;1;5;0;0;1;4;2;1;0;0;\"L\""
"332724;4;1;265.974472;\"Lg\";\"\";2;3;1;2;0;0;\"522\";\"411\";100;200;3;5;1;4;0;1;3;2;1;0;0;\"M\""
"332725;4;1;159.5846832;\"Beg\";\"\";2;4;1;2;0;0;\"212\";\"231\";100;200;3;5;1;4;0;2;3;2;1;0;0;\"M\""
"332726;4;1;106.3897888;\"Dg\";\"\";2;0;1;2;0;0;\"522\";\"411\";100;200;3;5;1;4;0;1;3;2;1;0;0;\"M\""
"332727;3;1;653.949016;\"Eo\";\"\";2;3;3;4;4;3;\"220\";\"212\";1000;1500;5;1;5;0;0;4;1;1;2;0;0;\"L\""
"332728;3;1;392.3694096;\"Be\";\"\";3;4;2;3;3;1;\"212\";\"\";1000;1500;5;1;5;0;0;2;1;1;2;0;0;\"L\""
"332729;3;1;261.5796064;\"Lo\";\"\";3;0;2;0;0;0;\"212\";\"\";1000;1500;5;1;5;0;0;1;1;1;2;0;0;\"L\""
"332730;4;1;151.269596;\"Lg\";\"\";2;0;1;0;0;0;\"453\";\"313\";100;200;3;1;2;4;0;2;3;2;2;0;0;\"M\""
"332731;4;1;60.5078384;\"Bg\";\"\";2;0;1;2;0;0;\"313\";\"\";100;200;3;1;2;4;0;1;4;2;2;0;0;\"M\""
"332732;4;1;45.3808788;\"Dg\";\"\";2;0;1;0;0;0;\"453\";\"454\";100;200;3;1;3;4;0;2;3;2;2;0;0;\"M\""
"332733;4;1;45.3808788;\"G\";\"\";2;0;1;0;4;3;\"453\";\"\";100;200;3;1;5;0;0;4;4;3;1;0;0;\"M\""
"332734;6;1;415.3720175;\"D\";\"\";3;0;1;2;3;1;\"500\";\"\";150;200;3;1;5;0;0;1;3;2;2;0;0;\"M\""
"332735;6;1;249.2232105;\"Bd\";\"\";3;4;2;3;3;1;\"111\";\"\";150;200;3;1;2;5;0;1;1;1;2;0;0;\"M\""
"332736;6;1;166.148807;\"Lg\";\"\";3;0;1;2;3;1;\"500\";\"\";150;200;3;1;5;0;0;1;3;2;2;0;0;\"M\""
"332742;1;1;196.7282016;\"Bd\";\"\";1;2;3;4;4;3;\"730\";\"740\";0;600;5;1;5;0;0;4;1;1;1;0;0;\"L\""
"332743;1;1;56.2080576;\"Pl\";\"\";1;0;3;4;1;3;\"711\";\"730\";0;600;5;1;5;0;0;3;1;1;2;0;0;\"L\""
"332744;1;1;14.0520144;\"I\";\"\";1;2;3;4;3;1;\"730\";\"740\";0;600;5;1;5;0;0;4;1;1;2;0;0;\"L\""
"332745;1;1;14.0520144;\"U\";\"\";1;2;3;4;4;3;\"730\";\"740\";0;600;5;1;5;0;0;4;1;1;2;0;0;\"L\""
